date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,JPY_net_pos,JPY_net_pct_oi,JPY_percentile,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short,EUR_net_pos,EUR_net_pct_oi,EUR_percentile
2023-01-03,-18514,-10.727156845703691,75.15151515151514,26931,45445,-15354,-8.896228054927864,38.78787878787879,54246,69600,-18514,-10.727156845703691,75.15151515151514,-5689,-0.7989831889105795,24.242424242424242,71489,77178,349543,49.09104953442973,52.72727272727272,432022,82479,-5689,-0.7989831889105795,24.242424242424242
2023-01-10,-5080,-2.890551651540584,84.84848484848484,29570,34650,-11449,-6.514552334348061,40.0,55013,66462,-5080,-2.890551651540584,84.84848484848484,-6374,-0.854236942866371,22.424242424242426,82961,89335,361608,48.462333297148206,58.78787878787879,438725,77117,-6374,-0.854236942866371,22.424242424242426
2023-01-17,-5484,-3.1007225972792347,83.63636363636363,31349,36833,2208,1.2484309800861688,49.696969696969695,55978,53770,-5484,-3.1007225972792347,83.63636363636363,-13887,-1.8419848391396907,15.151515151515152,71486,85373,382636,50.75320162087238,72.12121212121212,459449,76813,-13887,-1.8419848391396907,15.151515151515152
2023-01-24,-10934,-6.30852579895108,80.60606060606061,25334,36268,10642,6.140052272950191,53.333333333333336,60445,49803,-10934,-6.30852579895108,80.60606060606061,-10864,-1.3971750417004793,16.969696969696972,77468,88332,402077,51.70949459147677,84.24242424242424,476921,74844,-10864,-1.3971750417004793,16.969696969696972
2023-01-31,-11137,-6.607926901625727,80.0,20971,32108,13545,8.036667853328588,55.15151515151515,59887,46342,-11137,-6.607926901625727,80.0,5056,0.6345875306562508,37.57575757575757,85496,80440,411361,51.63064897117998,90.9090909090909,487012,75651,5056,0.6345875306562508,37.57575757575757
2023-02-07,-17726,-10.803991003784994,75.75757575757575,13576,31302,19175,11.687156013628412,60.0,66337,47162,-17726,-10.803991003784994,75.75757575757575,15575,1.9935055875753722,66.06060606060606,73795,58220,410873,52.58925337296026,89.6969696969697,489504,78631,15575,1.9935055875753722,66.06060606060606
2023-02-14,-13661,-7.8082935612014515,78.18181818181819,20989,34650,21189,12.111114286530821,62.42424242424243,72037,50848,-13661,-7.8082935612014515,78.18181818181819,21408,2.7145706558056792,76.36363636363637,79092,57684,412837,52.34843076564131,92.72727272727272,485694,72857,21408,2.7145706558056792,76.36363636363637
2023-02-21,-7088,-3.8087049973132725,81.81818181818183,30808,37896,1088,0.5846319183234819,48.484848484848484,71320,70232,-7088,-3.8087049973132725,81.81818181818183,23229,2.940759439826408,80.60606060606061,79329,56100,407928,51.643123542533345,87.87878787878788,484939,77011,23229,2.940759439826408,80.60606060606061
2023-02-28,-25842,-12.917964278394578,69.6969696969697,25965,51807,-8190,-4.094037901093243,42.42424242424242,72408,80598,-25842,-12.917964278394578,69.6969696969697,26927,3.3492834869266375,86.06060606060606,84939,58012,405646,50.45580455816997,87.27272727272727,488209,82563,26927,3.3492834869266375,86.06060606060606
2023-03-07,-39457,-18.673715197092243,56.36363636363636,19427,58884,75,0.03549506145378307,47.878787878787875,79299,79224,-39457,-18.673715197092243,56.36363636363636,15887,1.9349448333063357,67.27272727272727,75936,60049,409845,49.91675364804149,88.48484848484848,490588,80743,15887,1.9349448333063357,67.27272727272727
2023-03-14,-44541,-24.775005284177503,43.63636363636363,16306,60847,7760,4.316338676841953,51.515151515151516,76079,68319,-44541,-24.775005284177503,43.63636363636363,7645,1.0256196983376777,45.45454545454545,64007,56362,400687,53.754412042881505,83.63636363636363,484418,83731,7645,1.0256196983376777,45.45454545454545
2023-03-21,-51277,-30.307705038182377,34.54545454545455,10622,61899,15975,9.442159018370097,56.36363636363636,71320,55345,-51277,-30.307705038182377,34.54545454545455,13341,1.809103692925633,58.18181818181818,61547,48206,398197,53.997426220816145,81.21212121212122,479791,81594,13341,1.809103692925633,58.18181818181818
2023-03-28,-42484,-25.068299965186196,46.666666666666664,14688,57172,16240,9.582647383359001,56.96969696969697,72482,56242,-42484,-25.068299965186196,46.666666666666664,3013,0.41132768878343656,32.72727272727273,58664,55651,403304,55.0581155649237,84.84848484848484,483631,80327,3013,0.41132768878343656,32.72727272727273
2023-04-04,-44447,-24.854608897935446,44.24242424242424,15053,59500,22605,12.640637931420134,63.63636363636363,73899,51294,-44447,-24.854608897935446,44.24242424242424,3485,0.46647347392232585,33.33333333333333,66748,63263,411188,55.03824814782591,90.30303030303031,485717,74529,3485,0.46647347392232585,33.33333333333333
2023-04-11,-43574,-24.64286118243205,45.45454545454545,13815,57389,23846,13.485878454038524,64.24242424242425,74130,50284,-43574,-24.64286118243205,45.45454545454545,7626,1.0041622829483343,44.84848484848485,69139,61513,421745,55.53375583819109,95.75757575757575,496317,74572,7626,1.0041622829483343,44.84848484848485
2023-04-18,-43707,-24.622690936132095,44.84848484848485,15253,58960,24445,13.77128789287183,64.84848484848484,75302,50857,-43707,-24.622690936132095,44.84848484848485,8324,1.0861537578258136,46.666666666666664,65844,57520,432282,56.40614112691714,97.57575757575758,505959,73677,8324,1.0861537578258136,46.666666666666664
2023-04-25,-40435,-21.97064784477372,51.515151515151516,16108,56543,18885,10.261300471090681,59.3939393939394,77569,58684,-40435,-21.97064784477372,51.515151515151516,13376,1.7306652244456464,58.78787878787879,69260,55884,436020,56.41482140870146,98.7878787878788,510675,74655,13376,1.7306652244456464,58.78787878787879
2023-05-02,-40166,-19.786596780232124,54.54545454545454,26556,66722,12684,6.248398983231197,54.54545454545454,79011,66327,-40166,-19.786596780232124,54.54545454545454,14789,1.897344051892469,63.63636363636363,70548,55759,435685,55.89589176068499,98.18181818181819,511857,76172,14789,1.897344051892469,63.63636363636363
2023-05-09,-35551,-18.46095526914329,61.212121212121204,21147,56698,20548,10.670183929294714,61.81818181818181,83367,62819,-35551,-18.46095526914329,61.212121212121204,13403,1.6865038170628435,59.3939393939394,78046,64643,441326,55.53219305894773,99.39393939393939,517803,76477,13403,1.6865038170628435,59.3939393939394
2023-05-16,-37254,-18.57915866643393,58.18181818181818,25509,62763,17064,8.51008652719248,58.18181818181818,87556,70492,-37254,-18.57915866643393,58.18181818181818,15268,1.9328294912207409,64.84848484848484,69220,53952,441785,55.92710746521844,100.0,521175,79390,15268,1.9328294912207409,64.84848484848484
2023-05-23,-48055,-21.225706713780916,38.78787878787879,33768,81823,-7229,-3.1930212014134276,43.63636363636363,79464,86693,-48055,-21.225706713780916,38.78787878787879,14247,1.8239124952152221,61.81818181818181,72480,58233,428803,54.89570784626749,96.96969696969697,508404,79601,14247,1.8239124952152221,61.81818181818181
2023-05-30,-46378,-19.06700049745721,41.81818181818181,39074,85452,-25058,-10.30188663731258,32.121212121212125,71565,96623,-46378,-19.06700049745721,41.81818181818181,19296,2.4893503383896114,72.12121212121212,72423,53127,416574,53.741637016185415,94.54545454545455,499251,82677,19296,2.4893503383896114,72.12121212121212
2023-06-06,-48392,-19.725107201669577,38.18181818181819,36006,84398,-34023,-13.868146022532732,26.666666666666668,66695,100718,-48392,-19.725107201669577,38.18181818181819,23393,2.99155846730105,81.21212121212122,77781,54388,400567,51.22556322709271,83.03030303030303,487937,87370,23393,2.99155846730105,81.21212121212122
2023-06-13,-45649,-18.074087565230474,42.42424242424242,37530,83179,-30918,-12.241552703055834,29.09090909090909,65662,96580,-45649,-18.074087565230474,42.42424242424242,20199,2.4684282177310357,73.93939393939394,70136,49937,388240,47.445050311990556,75.15151515151514,467413,79173,20199,2.4684282177310357,73.93939393939394
2023-06-20,-48718,-20.42203926960546,37.57575757575757,28924,77642,-33455,-14.02396083099985,27.27272727272727,67672,101127,-48718,-20.42203926960546,37.57575757575757,6332,0.8638719526753155,41.21212121212121,66452,60120,394009,53.75447318408849,78.18181818181819,476293,82284,6332,0.8638719526753155,41.21212121212121
2023-06-27,-48021,-19.092015076096118,39.39393939393939,35107,83128,-39443,-15.681604936308267,22.424242424242426,69585,109028,-48021,-19.092015076096118,39.39393939393939,14239,1.9448917736500562,61.212121212121204,70527,56288,395770,54.05785639844672,80.60606060606061,474306,78536,14239,1.9448917736500562,61.212121212121204
2023-07-03,-49131,-18.535383640300907,36.96969696969697,40812,89943,-44241,-16.69056008692175,17.575757575757574,72426,116667,-49131,-18.535383640300907,36.96969696969697,17473,2.406991336594451,69.6969696969697,69829,52356,395766,54.51870504885478,80.0,474861,79095,17473,2.406991336594451,69.6969696969697
2023-07-11,-58250,-23.08311108821513,25.454545454545453,27126,85376,-29812,-11.813797558143682,29.6969696969697,73839,103651,-58250,-23.08311108821513,25.454545454545453,9597,1.3038410120969057,48.484848484848484,70220,60623,399881,54.32752399273968,82.42424242424242,477886,78005,9597,1.3038410120969057,48.484848484848484
2023-07-18,-54754,-23.71000987303622,29.6969696969697,27722,82476,-1679,-0.727053851350181,47.27272727272727,71714,73393,-54754,-23.71000987303622,29.6969696969697,21491,2.7442372422529027,76.96969696969697,86196,64705,424187,54.16545358892243,96.36363636363636,501669,77482,21491,2.7442372422529027,76.96969696969697
2023-07-25,-36631,-16.37066499821237,59.3939393939394,30457,67088,-16988,-7.592062924562031,37.57575757575757,61905,78893,-36631,-16.37066499821237,59.3939393939394,26054,3.373087798158486,83.63636363636363,80093,54039,414916,53.71720645047695,93.93939393939394,491850,76934,26054,3.373087798158486,83.63636363636363
2023-08-01,-40180,-17.54470231207563,53.939393939393945,27311,67491,-16266,-7.102591533305678,38.18181818181819,62030,78296,-40180,-17.54470231207563,53.939393939393945,18712,2.4778986063806685,70.9090909090909,70631,51919,412427,54.61480806614792,92.12121212121212,492126,79699,18712,2.4778986063806685,70.9090909090909
2023-08-08,-40329,-17.545867069249812,53.333333333333336,24813,65142,-21642,-9.415746859894975,34.54545454545455,61103,82745,-40329,-17.545867069249812,53.333333333333336,11010,1.446841391490838,51.515151515151516,71402,60392,416862,54.78049011259344,95.15151515151516,496666,79804,11010,1.446841391490838,51.515151515151516
2023-08-15,-33845,-13.649709220258597,64.24242424242425,34878,68723,-40765,-16.440549456754074,21.21212121212121,58222,98987,-33845,-13.649709220258597,64.24242424242425,23055,3.032622893244571,80.0,76755,53700,412252,54.22705933575628,91.51515151515152,492339,80087,23055,3.032622893244571,80.0
2023-08-22,-36101,-14.620347233753032,60.60606060606061,33762,69863,-43250,-17.515581780555074,18.181818181818183,60285,103535,-36101,-14.620347233753032,60.60606060606061,31706,4.22472904224729,89.6969696969697,91721,60015,381870,50.8830277979869,71.51515151515152,467608,85738,31706,4.22472904224729,89.6969696969697
2023-08-29,-37879,-15.432345224320846,56.96969696969697,29062,66941,-36320,-14.797190489382853,24.848484848484848,65309,101629,-37879,-15.432345224320846,56.96969696969697,28415,3.7981519180566936,87.27272727272727,87774,59359,365495,48.85467307021402,61.81818181818181,464262,98767,28415,3.7981519180566936,87.27272727272727
2023-09-05,-41363,-15.414169871508212,49.696969696969695,36609,77972,-42733,-15.924708583012851,18.787878787878785,66176,108909,-41363,-15.414169871508212,49.696969696969695,24070,3.1911945833217326,81.81818181818183,89527,65457,353686,46.89160147057459,54.54545454545454,461039,107353,24070,3.1911945833217326,81.81818181818183
2023-09-12,-35444,-13.086016820870283,61.81818181818181,35535,70979,-46017,-16.989595870838166,16.969696969696972,66782,112799,-35444,-13.086016820870283,61.81818181818181,13429,1.8055579831639013,60.0,72898,59469,342747,46.083072608197014,50.303030303030305,450698,107951,13429,1.8055579831639013,60.0
2023-09-19,-31399,-11.81035131272098,64.84848484848484,49757,81156,-50307,-18.922365154592644,15.151515151515152,70008,120315,-31399,-11.81035131272098,64.84848484848484,4862,0.6992232610380776,36.96969696969697,65602,60740,334864,48.158103267020735,48.484848484848484,449293,114429,4862,0.6992232610380776,36.96969696969697
2023-09-26,-35032,-12.250064691195703,63.030303030303024,55409,90441,-53003,-18.5342024100093,13.333333333333334,72874,125877,-35032,-12.250064691195703,63.030303030303024,11875,1.6981971224317896,52.121212121212125,76453,64578,318134,45.49509417664968,40.60606060606061,441783,123649,11875,1.6981971224317896,52.121212121212125
2023-10-03,-41870,-14.811696535329451,47.878787878787875,61438,103308,-39187,-13.862573492475644,23.03030303030303,73374,112561,-41870,-14.811696535329451,47.878787878787875,13203,1.8796098702652069,57.57575757575758,82368,69165,306736,43.66765228854567,35.75757575757576,439608,132872,13203,1.8796098702652069,57.57575757575758
2023-10-10,-40650,-15.638404690367281,50.90909090909091,47367,88017,-26437,-10.170541323474534,31.515151515151512,71664,98101,-40650,-15.638404690367281,50.90909090909091,-962,-0.13995129345836813,30.909090909090907,68001,68963,318633,46.35457431239107,41.81818181818181,444415,125782,-962,-0.13995129345836813,30.909090909090907
2023-10-17,-40333,-15.076573427880428,52.72727272727272,45803,86136,-40576,-15.167407418483034,21.818181818181817,69103,109679,-40333,-15.076573427880428,52.72727272727272,4299,0.6179600848670933,35.15151515151515,75357,71058,317388,45.62296241353734,40.0,447860,130472,4299,0.6179600848670933,35.15151515151515
2023-10-24,-46924,-17.984814628855272,40.60606060606061,38333,85257,-35560,-13.629273041558552,25.454545454545453,69055,104615,-46924,-17.984814628855272,40.60606060606061,9025,1.2843903522004703,47.27272727272727,81600,72575,325952,46.387767765146556,46.06060606060606,448774,122822,9025,1.2843903522004703,47.27272727272727
2023-10-31,-40958,-14.771776450561184,50.303030303030305,51443,92401,-38588,-13.917020110216683,23.636363636363637,66878,105466,-40958,-14.771776450561184,50.303030303030305,5473,0.787525073313361,39.39393939393939,77740,72267,321410,46.248571864360926,43.63636363636363,443345,121935,5473,0.787525073313361,39.39393939393939
2023-11-07,-47267,-18.200756263043996,40.0,34887,82154,-24081,-9.272693667259663,33.33333333333333,70113,94194,-47267,-18.200756263043996,40.0,5370,0.7697556276733598,38.78787878787879,77240,71870,324423,46.50399068839375,44.84848484848485,443192,118769,5370,0.7697556276733598,38.78787878787879
2023-11-14,-64429,-23.53459013818522,19.393939393939394,28422,92851,-41824,-15.277448011601274,20.0,71014,112838,-64429,-23.53459013818522,19.393939393939394,7125,1.0142882970348617,43.03030303030303,77152,70027,327998,46.69256601415306,46.666666666666664,441077,113079,7125,1.0142882970348617,43.03030303030303
2023-11-21,-62905,-23.746427937773447,21.21212121212121,38753,101658,-21983,-8.298509265655731,33.939393939393945,69250,91233,-62905,-23.746427937773447,21.21212121212121,8063,1.131865170053512,46.06060606060606,73652,65589,353982,49.69116912140423,55.15151515151515,453409,99427,8063,1.131865170053512,46.06060606060606
2023-11-28,-65310,-25.044002438827984,18.181818181818183,35448,100758,-24146,-9.25911013455735,32.72727272727273,66352,90498,-65310,-25.044002438827984,18.181818181818183,10184,1.4005594536387866,49.09090909090909,73233,63049,372157,51.1810687929939,66.66666666666666,465952,93795,10184,1.4005594536387866,49.09090909090909
2023-12-05,-64464,-24.100313292109377,18.787878787878785,39913,104377,-19565,-7.314510882975303,35.75757575757576,64639,84204,-64464,-24.100313292109377,18.787878787878785,12108,1.6002854820483339,53.939393939393945,76280,64172,385663,50.972158891906716,73.93939393939394,478523,92860,12108,1.6002854820483339,53.939393939393945
2023-12-12,-61447,-23.85540858991929,22.424242424242426,29395,90842,-4110,-1.5956145833737736,45.45454545454545,62909,67019,-61447,-23.85540858991929,22.424242424242426,16641,2.100741148445558,67.87878787878789,83174,66533,362824,45.80249422772736,60.0,462262,99438,16641,2.100741148445558,67.87878787878789
2023-12-19,-57908,-31.1433795848123,26.666666666666668,28932,86840,12323,6.627406690330213,53.939393939393945,63273,50950,-57908,-31.1433795848123,26.666666666666668,-7465,-1.066056974426057,21.21212121212121,67756,75221,363318,51.88448597917298,60.60606060606061,459191,95873,-7465,-1.066056974426057,21.21212121212121
2023-12-26,-58188,-30.862416463349952,26.060606060606062,32553,90741,16398,8.697358650684205,57.57575757575758,63596,47198,-58188,-30.862416463349952,26.060606060606062,-4233,-0.5998920109349557,27.27272727272727,71580,75813,365700,51.826248145266554,63.030303030303024,460850,95150,-4233,-0.5998920109349557,27.27272727272727
2024-01-02,-58795,-31.946512209169647,23.636363636363637,28836,87631,22552,12.253724693276535,63.030303030303024,64625,42073,-58795,-31.946512209169647,23.636363636363637,12711,1.7681548509149585,55.757575757575765,86037,73326,368199,51.21806686744055,64.24242424242425,460498,92299,12711,1.7681548509149585,55.757575757575765
2024-01-09,-45129,-22.53081642943799,43.03030303030303,32930,78059,5789,2.8901791821227265,50.90909090909091,65746,59957,-45129,-22.53081642943799,43.03030303030303,15861,2.221182810305302,66.66666666666666,80190,64329,365552,51.19209499229077,62.42424242424243,460848,95296,15861,2.221182810305302,66.66666666666666
2024-01-16,-36183,-16.96271605980057,60.0,35551,71734,-7460,-3.4972739078051087,43.03030303030303,66178,73638,-36183,-16.96271605980057,60.0,11945,1.6294020796872422,52.72727272727272,80292,68347,381514,52.04183382417735,70.9090909090909,479464,97950,11945,1.6294020796872422,52.72727272727272
2024-01-23,-28500,-11.7268507850818,67.87878787878789,46599,75099,-28674,-11.798446295138088,30.909090909090907,65726,94400,-28500,-11.7268507850818,67.87878787878789,3568,0.49185096143905,33.939393939393945,75337,71769,377770,52.0758233472057,69.6969696969697,476138,98368,3568,0.49185096143905,33.939393939393945
