date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,JPY_net_pos,JPY_net_pct_oi,JPY_percentile,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short,EUR_net_pos,EUR_net_pct_oi,EUR_percentile
2023-03-14,-44541,-24.775005284177503,40.17857142857143,16306,60847,7760,4.316338676841953,36.607142857142854,76079,68319,-44541,-24.775005284177503,40.17857142857143,7645,1.0256196983376777,30.357142857142854,64007,56362,400687,53.754412042881505,75.89285714285714,484418,83731,7645,1.0256196983376777,30.357142857142854
2023-03-21,-51277,-30.307705038182377,27.67857142857143,10622,61899,15975,9.442159018370097,41.964285714285715,71320,55345,-51277,-30.307705038182377,27.67857142857143,13341,1.809103692925633,41.964285714285715,61547,48206,398197,53.997426220816145,72.32142857142857,479791,81594,13341,1.809103692925633,41.964285714285715
2023-03-28,-42484,-25.068299965186196,44.642857142857146,14688,57172,16240,9.582647383359001,42.857142857142854,72482,56242,-42484,-25.068299965186196,44.642857142857146,3013,0.41132768878343656,18.75,58664,55651,403304,55.0581155649237,77.67857142857143,483631,80327,3013,0.41132768878343656,18.75
2023-04-04,-44447,-24.854608897935446,41.07142857142857,15053,59500,22605,12.640637931420134,50.0,73899,51294,-44447,-24.854608897935446,41.07142857142857,3485,0.46647347392232585,19.642857142857142,66748,63263,411188,55.03824814782591,85.71428571428571,485717,74529,3485,0.46647347392232585,19.642857142857142
2023-04-11,-43574,-24.64286118243205,42.857142857142854,13815,57389,23846,13.485878454038524,50.89285714285714,74130,50284,-43574,-24.64286118243205,42.857142857142854,7626,1.0041622829483343,29.464285714285715,69139,61513,421745,55.53375583819109,93.75,496317,74572,7626,1.0041622829483343,29.464285714285715
2023-04-18,-43707,-24.622690936132095,41.964285714285715,15253,58960,24445,13.77128789287183,51.78571428571429,75302,50857,-43707,-24.622690936132095,41.964285714285715,8324,1.0861537578258136,32.142857142857146,65844,57520,432282,56.40614112691714,96.42857142857143,505959,73677,8324,1.0861537578258136,32.142857142857146
2023-04-25,-40435,-21.97064784477372,50.89285714285714,16108,56543,18885,10.261300471090681,46.42857142857143,77569,58684,-40435,-21.97064784477372,50.89285714285714,13376,1.7306652244456464,42.857142857142854,69260,55884,436020,56.41482140870146,98.21428571428571,510675,74655,13376,1.7306652244456464,42.857142857142854
2023-05-02,-40166,-19.786596780232124,54.46428571428571,26556,66722,12684,6.248398983231197,39.285714285714285,79011,66327,-40166,-19.786596780232124,54.46428571428571,14789,1.897344051892469,50.0,70548,55759,435685,55.89589176068499,97.32142857142857,511857,76172,14789,1.897344051892469,50.0
2023-05-09,-35551,-18.46095526914329,60.71428571428571,21147,56698,20548,10.670183929294714,48.214285714285715,83367,62819,-35551,-18.46095526914329,60.71428571428571,13403,1.6865038170628435,43.75,78046,64643,441326,55.53219305894773,99.10714285714286,517803,76477,13403,1.6865038170628435,43.75
2023-05-16,-37254,-18.57915866643393,58.03571428571429,25509,62763,17064,8.51008652719248,44.642857142857146,87556,70492,-37254,-18.57915866643393,58.03571428571429,15268,1.9328294912207409,51.78571428571429,69220,53952,441785,55.92710746521844,100.0,521175,79390,15268,1.9328294912207409,51.78571428571429
2023-05-23,-48055,-21.225706713780916,33.92857142857143,33768,81823,-7229,-3.1930212014134276,30.357142857142854,79464,86693,-48055,-21.225706713780916,33.92857142857143,14247,1.8239124952152221,47.32142857142857,72480,58233,428803,54.89570784626749,95.53571428571429,508404,79601,14247,1.8239124952152221,47.32142857142857
2023-05-30,-46378,-19.06700049745721,38.392857142857146,39074,85452,-25058,-10.30188663731258,17.857142857142858,71565,96623,-46378,-19.06700049745721,38.392857142857146,19296,2.4893503383896114,60.71428571428571,72423,53127,416574,53.741637016185415,91.96428571428571,499251,82677,19296,2.4893503383896114,60.71428571428571
2023-06-06,-48392,-19.725107201669577,33.035714285714285,36006,84398,-34023,-13.868146022532732,13.392857142857142,66695,100718,-48392,-19.725107201669577,33.035714285714285,23393,2.99155846730105,73.21428571428571,77781,54388,400567,51.22556322709271,75.0,487937,87370,23393,2.99155846730105,73.21428571428571
2023-06-13,-45649,-18.074087565230474,39.285714285714285,37530,83179,-30918,-12.241552703055834,15.178571428571427,65662,96580,-45649,-18.074087565230474,39.285714285714285,20199,2.4684282177310357,63.39285714285714,70136,49937,388240,47.445050311990556,63.39285714285714,467413,79173,20199,2.4684282177310357,63.39285714285714
2023-06-20,-48718,-20.42203926960546,32.142857142857146,28924,77642,-33455,-14.02396083099985,14.285714285714285,67672,101127,-48718,-20.42203926960546,32.142857142857146,6332,0.8638719526753155,26.785714285714285,66452,60120,394009,53.75447318408849,67.85714285714286,476293,82284,6332,0.8638719526753155,26.785714285714285
2023-06-27,-48021,-19.092015076096118,34.82142857142857,35107,83128,-39443,-15.681604936308267,8.928571428571429,69585,109028,-48021,-19.092015076096118,34.82142857142857,14239,1.9448917736500562,46.42857142857143,70527,56288,395770,54.05785639844672,71.42857142857143,474306,78536,14239,1.9448917736500562,46.42857142857143
2023-07-03,-49131,-18.535383640300907,31.25,40812,89943,-44241,-16.69056008692175,3.571428571428571,72426,116667,-49131,-18.535383640300907,31.25,17473,2.406991336594451,58.03571428571429,69829,52356,395766,54.51870504885478,70.53571428571429,474861,79095,17473,2.406991336594451,58.03571428571429
2023-07-11,-58250,-23.08311108821513,14.285714285714285,27126,85376,-29812,-11.813797558143682,16.071428571428573,73839,103651,-58250,-23.08311108821513,14.285714285714285,9597,1.3038410120969057,33.92857142857143,70220,60623,399881,54.32752399273968,74.10714285714286,477886,78005,9597,1.3038410120969057,33.92857142857143
2023-07-18,-54754,-23.71000987303622,20.535714285714285,27722,82476,-1679,-0.727053851350181,33.035714285714285,71714,73393,-54754,-23.71000987303622,20.535714285714285,21491,2.7442372422529027,66.96428571428571,86196,64705,424187,54.16545358892243,94.64285714285714,501669,77482,21491,2.7442372422529027,66.96428571428571
2023-07-25,-36631,-16.37066499821237,58.92857142857143,30457,67088,-16988,-7.592062924562031,24.107142857142858,61905,78893,-36631,-16.37066499821237,58.92857142857143,26054,3.373087798158486,75.89285714285714,80093,54039,414916,53.71720645047695,91.07142857142857,491850,76934,26054,3.373087798158486,75.89285714285714
2023-08-01,-40180,-17.54470231207563,53.57142857142857,27311,67491,-16266,-7.102591533305678,25.0,62030,78296,-40180,-17.54470231207563,53.57142857142857,18712,2.4778986063806685,58.92857142857143,70631,51919,412427,54.61480806614792,88.39285714285714,492126,79699,18712,2.4778986063806685,58.92857142857143
2023-08-08,-40329,-17.545867069249812,52.67857142857143,24813,65142,-21642,-9.415746859894975,21.428571428571427,61103,82745,-40329,-17.545867069249812,52.67857142857143,11010,1.446841391490838,36.607142857142854,71402,60392,416862,54.78049011259344,92.85714285714286,496666,79804,11010,1.446841391490838,36.607142857142854
2023-08-15,-33845,-13.649709220258597,65.17857142857143,34878,68723,-40765,-16.440549456754074,7.142857142857142,58222,98987,-33845,-13.649709220258597,65.17857142857143,23055,3.032622893244571,71.42857142857143,76755,53700,412252,54.22705933575628,87.5,492339,80087,23055,3.032622893244571,71.42857142857143
2023-08-22,-36101,-14.620347233753032,59.82142857142857,33762,69863,-43250,-17.515581780555074,4.464285714285714,60285,103535,-36101,-14.620347233753032,59.82142857142857,31706,4.22472904224729,84.82142857142857,91721,60015,381870,50.8830277979869,58.03571428571429,467608,85738,31706,4.22472904224729,84.82142857142857
2023-08-29,-37879,-15.432345224320846,57.14285714285714,29062,66941,-36320,-14.797190489382853,11.607142857142858,65309,101629,-37879,-15.432345224320846,57.14285714285714,28415,3.7981519180566936,81.25,87774,59359,365495,48.85467307021402,47.32142857142857,464262,98767,28415,3.7981519180566936,81.25
2023-09-05,-41363,-15.414169871508212,48.214285714285715,36609,77972,-42733,-15.924708583012851,5.357142857142857,66176,108909,-41363,-15.414169871508212,48.214285714285715,24070,3.1911945833217326,74.10714285714286,89527,65457,353686,46.89160147057459,37.5,461039,107353,24070,3.1911945833217326,74.10714285714286
