date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short
2023-01-03,-18514,-10.727156845703691,75.44910179640718,26931,45445,-15354,-8.896228054927864,38.32335329341318,54246,69600,-5689,-0.7989831889105795,23.952095808383234,71489,77178,349543,49.09104953442973,52.09580838323353,432022,82479
2023-01-10,-5080,-2.890551651540584,85.02994011976048,29570,34650,-11449,-6.514552334348061,39.52095808383233,55013,66462,-6374,-0.854236942866371,22.15568862275449,82961,89335,361608,48.462333297148206,58.08383233532935,438725,77117
2023-01-17,-5484,-3.1007225972792347,83.8323353293413,31349,36833,2208,1.2484309800861688,49.101796407185624,55978,53770,-13887,-1.8419848391396907,14.97005988023952,71486,85373,382636,50.75320162087238,72.45508982035929,459449,76813
2023-01-24,-10934,-6.30852579895108,80.83832335329342,25334,36268,10642,6.140052272950191,53.293413173652695,60445,49803,-10864,-1.3971750417004793,16.766467065868262,77468,88332,402077,51.70949459147677,84.4311377245509,476921,74844
2023-01-31,-11137,-6.607926901625727,80.23952095808383,20971,32108,13545,8.036667853328588,55.08982035928144,59887,46342,5056,0.6345875306562508,37.12574850299401,85496,80440,411361,51.63064897117998,91.01796407185628,487012,75651
2023-02-07,-17726,-10.803991003784994,76.04790419161677,13576,31302,19175,11.687156013628412,60.47904191616767,66337,47162,15575,1.9935055875753722,65.86826347305389,73795,58220,410873,52.58925337296026,89.82035928143712,489504,78631
2023-02-14,-13661,-7.8082935612014515,78.44311377245509,20989,34650,21189,12.111114286530821,62.874251497005986,72037,50848,21408,2.7145706558056792,76.04790419161677,79092,57684,412837,52.34843076564131,92.81437125748504,485694,72857
2023-02-21,-7088,-3.8087049973132725,82.03592814371258,30808,37896,1088,0.5846319183234819,47.90419161676647,71320,70232,23229,2.940759439826408,80.23952095808383,79329,56100,407928,51.643123542533345,88.02395209580838,484939,77011
2023-02-28,-25842,-12.917964278394578,70.05988023952095,25965,51807,-8190,-4.094037901093243,41.91616766467065,72408,80598,26927,3.3492834869266375,85.62874251497006,84939,58012,405646,50.45580455816997,87.42514970059881,488209,82563
2023-03-07,-39457,-18.673715197092243,56.287425149700596,19427,58884,75,0.03549506145378307,47.30538922155689,79299,79224,15887,1.9349448333063357,67.06586826347305,75936,60049,409845,49.91675364804149,88.62275449101796,490588,80743
2023-03-14,-44541,-24.775005284177503,43.712574850299404,16306,60847,7760,4.316338676841953,51.49700598802395,76079,68319,7645,1.0256196983376777,45.50898203592814,64007,56362,400687,53.754412042881505,83.8323353293413,484418,83731
2023-03-21,-51277,-30.307705038182377,34.13173652694611,10622,61899,15975,9.442159018370097,56.287425149700596,71320,55345,13341,1.809103692925633,58.08383233532935,61547,48206,398197,53.997426220816145,81.437125748503,479791,81594
2023-03-28,-42484,-25.068299965186196,46.706586826347305,14688,57172,16240,9.582647383359001,56.886227544910184,72482,56242,3013,0.41132768878343656,32.33532934131736,58664,55651,403304,55.0581155649237,85.02994011976048,483631,80327
2023-04-04,-44447,-24.854608897935446,44.31137724550898,15053,59500,22605,12.640637931420134,64.07185628742515,73899,51294,3485,0.46647347392232585,32.93413173652694,66748,63263,411188,55.03824814782591,90.41916167664671,485717,74529
2023-04-11,-43574,-24.64286118243205,45.50898203592814,13815,57389,23846,13.485878454038524,64.67065868263472,74130,50284,7626,1.0041622829483343,44.91017964071856,69139,61513,421745,55.53375583819109,95.80838323353294,496317,74572
2023-04-18,-43707,-24.622690936132095,44.91017964071856,15253,58960,24445,13.77128789287183,65.26946107784431,75302,50857,8324,1.0861537578258136,46.706586826347305,65844,57520,432282,56.40614112691714,97.60479041916167,505959,73677
2023-04-25,-40435,-21.97064784477372,51.49700598802395,16108,56543,18885,10.261300471090681,59.88023952095808,77569,58684,13376,1.7306652244456464,58.68263473053892,69260,55884,436020,56.41482140870146,98.80239520958084,510675,74655
2023-05-02,-40166,-19.786596780232124,54.49101796407185,26556,66722,12684,6.248398983231197,54.49101796407185,79011,66327,14789,1.897344051892469,63.47305389221557,70548,55759,435685,55.89589176068499,98.20359281437125,511857,76172
2023-05-09,-35551,-18.46095526914329,61.07784431137725,21147,56698,20548,10.670183929294714,62.27544910179641,83367,62819,13403,1.6865038170628435,59.2814371257485,78046,64643,441326,55.53219305894773,99.40119760479041,517803,76477
2023-05-16,-37254,-18.57915866643393,58.08383233532935,25509,62763,17064,8.51008652719248,58.08383233532935,87556,70492,15268,1.9328294912207409,64.67065868263472,69220,53952,441785,55.92710746521844,100.0,521175,79390
2023-05-23,-48055,-21.225706713780916,38.92215568862276,33768,81823,-7229,-3.1930212014134276,43.11377245508982,79464,86693,14247,1.8239124952152221,61.67664670658682,72480,58233,428803,54.89570784626749,97.0059880239521,508404,79601
2023-05-30,-46378,-19.06700049745721,41.91616766467065,39074,85452,-25058,-10.30188663731258,31.736526946107784,71565,96623,19296,2.4893503383896114,71.8562874251497,72423,53127,416574,53.741637016185415,94.61077844311377,499251,82677
2023-06-06,-48392,-19.725107201669577,38.32335329341318,36006,84398,-34023,-13.868146022532732,26.34730538922156,66695,100718,23393,2.99155846730105,80.83832335329342,77781,54388,400567,51.22556322709271,83.23353293413174,487937,87370
2023-06-13,-45649,-18.074087565230474,42.51497005988024,37530,83179,-30918,-12.241552703055834,28.74251497005988,65662,96580,20199,2.4684282177310357,73.65269461077844,70136,49937,388240,47.445050311990556,75.44910179640718,467413,79173
2023-06-20,-48718,-20.42203926960546,37.72455089820359,28924,77642,-33455,-14.02396083099985,26.94610778443114,67672,101127,6332,0.8638719526753155,41.31736526946108,66452,60120,394009,53.75447318408849,78.44311377245509,476293,82284
2023-06-27,-48021,-19.092015076096118,39.52095808383233,35107,83128,-39443,-15.681604936308267,22.15568862275449,69585,109028,14239,1.9448917736500562,61.07784431137725,70527,56288,395770,54.05785639844672,80.83832335329342,474306,78536
2023-07-03,-49131,-18.535383640300907,37.12574850299401,40812,89943,-44241,-16.69056008692175,17.365269461077844,72426,116667,17473,2.406991336594451,69.46107784431138,69829,52356,395766,54.51870504885478,80.23952095808383,474861,79095
2023-07-11,-58250,-23.08311108821513,25.149700598802394,27126,85376,-29812,-11.813797558143682,29.34131736526946,73839,103651,9597,1.3038410120969057,48.50299401197605,70220,60623,399881,54.32752399273968,82.63473053892216,477886,78005
2023-07-18,-54754,-23.71000987303622,29.34131736526946,27722,82476,-1679,-0.727053851350181,46.706586826347305,71714,73393,21491,2.7442372422529027,76.64670658682635,86196,64705,424187,54.16545358892243,96.40718562874252,501669,77482
2023-07-25,-36631,-16.37066499821237,59.2814371257485,30457,67088,-16988,-7.592062924562031,37.12574850299401,61905,78893,26054,3.373087798158486,83.23353293413174,80093,54039,414916,53.71720645047695,94.01197604790418,491850,76934
2023-08-01,-40180,-17.54470231207563,53.89221556886228,27311,67491,-16266,-7.102591533305678,37.72455089820359,62030,78296,18712,2.4778986063806685,70.65868263473054,70631,51919,412427,54.61480806614792,92.21556886227546,492126,79699
2023-08-08,-40329,-17.545867069249812,53.293413173652695,24813,65142,-21642,-9.415746859894975,34.13173652694611,61103,82745,11010,1.446841391490838,51.49700598802395,71402,60392,416862,54.78049011259344,95.20958083832335,496666,79804
2023-08-15,-33845,-13.649709220258597,64.67065868263472,34878,68723,-40765,-16.440549456754074,20.958083832335326,58222,98987,23055,3.032622893244571,79.64071856287424,76755,53700,412252,54.22705933575628,91.61676646706587,492339,80087
2023-08-22,-36101,-14.620347233753032,60.47904191616767,33762,69863,-43250,-17.515581780555074,17.964071856287426,60285,103535,31706,4.22472904224729,89.82035928143712,91721,60015,381870,50.8830277979869,71.8562874251497,467608,85738
2023-08-29,-37879,-15.432345224320846,56.886227544910184,29062,66941,-36320,-14.797190489382853,24.550898203592812,65309,101629,28415,3.7981519180566936,86.82634730538922,87774,59359,365495,48.85467307021402,61.07784431137725,464262,98767
2023-09-05,-41363,-15.414169871508212,49.700598802395206,36609,77972,-42733,-15.924708583012851,18.562874251497004,66176,108909,24070,3.1911945833217326,81.437125748503,89527,65457,353686,46.89160147057459,53.89221556886228,461039,107353
2023-09-12,-35444,-13.086016820870283,61.67664670658682,35535,70979,-46017,-16.989595870838166,16.766467065868262,66782,112799,13429,1.8055579831639013,59.88023952095808,72898,59469,342747,46.083072608197014,49.700598802395206,450698,107951
2023-09-19,-31399,-11.81035131272098,65.26946107784431,49757,81156,-50307,-18.922365154592644,14.97005988023952,70008,120315,4862,0.6992232610380776,36.52694610778443,65602,60740,334864,48.158103267020735,47.90419161676647,449293,114429
2023-09-26,-35032,-12.250064691195703,62.874251497005986,55409,90441,-53003,-18.5342024100093,13.17365269461078,72874,125877,11875,1.6981971224317896,52.09580838323353,76453,64578,318134,45.49509417664968,40.119760479041915,441783,123649
2023-10-03,-41870,-14.811696535329451,47.90419161676647,61438,103308,-39187,-13.862573492475644,22.75449101796407,73374,112561,13203,1.8796098702652069,57.48502994011976,82368,69165,306736,43.66765228854567,35.32934131736527,439608,132872
2023-10-10,-40650,-15.638404690367281,50.898203592814376,47367,88017,-26437,-10.170541323474534,31.137724550898206,71664,98101,-962,-0.13995129345836813,30.538922155688624,68001,68963,318633,46.35457431239107,41.31736526946108,444415,125782
2023-10-17,-40333,-15.076573427880428,52.69461077844312,45803,86136,-40576,-15.167407418483034,21.55688622754491,69103,109679,4299,0.6179600848670933,34.73053892215569,75357,71058,317388,45.62296241353734,39.52095808383233,447860,130472
2023-10-24,-46924,-17.984814628855272,40.7185628742515,38333,85257,-35560,-13.629273041558552,25.149700598802394,69055,104615,9025,1.2843903522004703,47.30538922155689,81600,72575,325952,46.387767765146556,45.50898203592814,448774,122822
2023-10-31,-40958,-14.771776450561184,50.29940119760479,51443,92401,-38588,-13.917020110216683,23.353293413173652,66878,105466,5473,0.787525073313361,39.52095808383233,77740,72267,321410,46.248571864360926,43.11377245508982,443345,121935
2023-11-07,-47267,-18.200756263043996,40.119760479041915,34887,82154,-24081,-9.272693667259663,32.93413173652694,70113,94194,5370,0.7697556276733598,38.92215568862276,77240,71870,324423,46.50399068839375,44.31137724550898,443192,118769
2023-11-14,-64429,-23.53459013818522,19.16167664670659,28422,92851,-41824,-15.277448011601274,19.760479041916167,71014,112838,7125,1.0142882970348617,43.11377245508982,77152,70027,327998,46.69256601415306,46.10778443113773,441077,113079
2023-11-21,-62905,-23.746427937773447,20.958083832335326,38753,101658,-21983,-8.298509265655731,33.532934131736525,69250,91233,8063,1.131865170053512,46.10778443113773,73652,65589,353982,49.69116912140423,54.49101796407185,453409,99427
2023-11-28,-65310,-25.044002438827984,17.964071856287426,35448,100758,-24146,-9.25911013455735,32.33532934131736,66352,90498,10184,1.4005594536387866,49.101796407185624,73233,63049,372157,51.1810687929939,67.06586826347305,465952,93795
2023-12-05,-64464,-24.100313292109377,18.562874251497004,39913,104377,-19565,-7.314510882975303,35.32934131736527,64639,84204,12108,1.6002854820483339,53.89221556886228,76280,64172,385663,50.972158891906716,74.25149700598801,478523,92860
2023-12-12,-61447,-23.85540858991929,22.15568862275449,29395,90842,-4110,-1.5956145833737736,44.91017964071856,62909,67019,16641,2.100741148445558,67.66467065868264,83174,66533,362824,45.80249422772736,59.2814371257485,462262,99438
2023-12-19,-57908,-31.1433795848123,26.34730538922156,28932,86840,12323,6.627406690330213,53.89221556886228,63273,50950,-7465,-1.066056974426057,20.958083832335326,67756,75221,363318,51.88448597917298,59.88023952095808,459191,95873
2023-12-26,-58188,-30.862416463349952,25.748502994011975,32553,90741,16398,8.697358650684205,57.48502994011976,63596,47198,-4233,-0.5998920109349557,26.94610778443114,71580,75813,365700,51.826248145266554,62.27544910179641,460850,95150
2024-01-02,-58795,-31.946512209169647,23.353293413173652,28836,87631,22552,12.253724693276535,63.47305389221557,64625,42073,12711,1.7681548509149585,55.688622754491014,86037,73326,368199,51.21806686744055,64.07185628742515,460498,92299
2024-01-09,-45129,-22.53081642943799,43.11377245508982,32930,78059,5789,2.8901791821227265,50.898203592814376,65746,59957,15861,2.221182810305302,66.46706586826348,80190,64329,365552,51.19209499229077,61.67664670658682,460848,95296
2024-01-16,-36183,-16.96271605980057,59.88023952095808,35551,71734,-7460,-3.4972739078051087,42.51497005988024,66178,73638,11945,1.6294020796872422,52.69461077844312,80292,68347,381514,52.04183382417735,71.25748502994011,479464,97950
2024-01-23,-28500,-11.7268507850818,68.26347305389223,46599,75099,-28674,-11.798446295138088,30.538922155688624,65726,94400,3568,0.49185096143905,33.532934131736525,75337,71769,377770,52.0758233472057,70.05988023952095,476138,98368
2024-01-30,-39514,-16.326142734961515,55.688622754491014,35268,74782,-34708,-14.34043027901615,25.748502994011975,66084,100792,10549,1.450612615338073,50.898203592814376,79542,68993,357997,49.22883348688825,56.886227544910184,470145,112148
2024-02-06,-40390,-15.562028496351266,52.09580838323353,40268,80658,-41446,-15.968899060652998,20.35928143712575,67566,109012,-5332,-0.7284242565823897,25.748502994011975,80024,85356,334968,45.761218375635764,48.50299401197605,466851,131883
2024-02-13,-58369,-19.16301150391343,24.550898203592812,42980,101349,-54495,-17.891146189000366,11.976047904191617,68114,122609,-5785,-0.7816458475486586,23.353293413173652,88270,94055,328622,44.40207808351518,46.706586826347305,464667,136045
2024-02-20,-59471,-19.470727283442137,22.75449101796407,37801,97272,-65167,-21.335590201612114,8.982035928143713,60681,125848,10327,1.429740315298789,50.29940119760479,87583,77256,302844,41.92778890736385,32.93413173652694,444982,142138
2024-02-27,-79373,-25.634541537885173,10.179640718562874,30322,109695,-54964,-17.751337874192995,11.377245508982035,64380,119344,6375,0.8909292916588054,41.91616766467065,85862,79487,308732,43.14641287410296,36.52694610778443,442988,134256
2024-03-05,-74008,-23.525522432657525,13.77245508982036,30933,104941,-49226,-15.647867355826387,15.568862275449103,65860,115086,9439,1.3348738806518947,47.90419161676647,88588,79149,299637,42.37499787868331,31.736526946107784,423822,124185
2024-03-12,-71959,-22.09534044676441,15.568862275449103,30134,102093,-37164,-11.41137637215015,23.952095808383234,65353,102517,3717,0.5178899849523492,34.13173652694611,80929,77212,311345,43.3797302569247,38.32335329341318,418644,107299
2024-03-19,-73006,-24.13421487603306,14.37125748502994,45130,118136,-61907,-20.465123966942148,9.580838323353294,61853,123760,-3642,-0.5550289401416071,27.54491017964072,85730,89372,287232,43.77322145380397,29.34131736526946,401634,114402
2024-03-26,-72877,-23.83930703530574,14.97005988023952,50032,122909,-59529,-19.47294905806654,10.778443113772456,62139,121668,-9126,-1.3884071200365131,19.16167664670659,81778,90904,274560,41.77088087631219,26.94610778443114,401800,127240
2024-04-02,-77209,-24.370835424498672,11.377245508982035,53581,130790,-65403,-20.64429987784438,7.784431137724551,58943,124346,-9393,-1.3757235254141964,18.562874251497004,94297,103690,247275,36.21654793429101,17.964071856287426,403614,156339
2024-04-09,-92900,-28.630512298176463,5.389221556886228,40770,133670,-69558,-21.43682642019977,6.58682634730539,59111,128669,-21555,-3.3496711712271714,11.976047904191617,65356,86911,269301,41.849677387272024,23.952095808383234,405602,136301
2024-04-16,-102380,-30.9202379873758,3.592814371257485,39056,141436,-69883,-21.10567485125789,5.9880239520958085,58169,128052,-34545,-5.243107465110455,6.58682634730539,70146,104691,248334,37.69118104619307,19.16167664670659,397902,149568
2024-04-23,-106089,-31.558421855803815,2.3952095808383236,34337,140426,-76218,-22.67265971972264,4.191616766467066,58140,134358,-35467,-5.327207102742534,5.389221556886228,63518,98985,225348,33.84767435048988,14.37125748502994,392006,166658
2024-04-30,-105809,-31.59911362767584,2.9940119760479043,28570,134379,-66853,-19.965178230122323,7.18562874251497,60164,127017,-23184,-3.5542092022498952,10.778443113772456,68274,91458,221794,34.00199602328387,13.17365269461078,390015,168221
